Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Richmond/Norfolk,Weekly,"2023-07-09 00:00:00",Conventional,1.225937987,283615.70,112868.88,77008.78,130.51,66425.11,,,
Richmond/Norfolk,Weekly,"2023-07-02 00:00:00",Conventional,1.186899033,289261.05,109377.51,83939.46,129.78,66254.38,,,
Richmond/Norfolk,Weekly,"2023-06-25 00:00:00",Conventional,1.117110918,295563.71,118211.81,79622.93,127.50,63527.93,,,
Roanoke,Weekly,"2023-07-16 00:00:00",Conventional,1.143180671,178815.87,73144.92,59587.65,26.85,34601.35,,,
Roanoke,Weekly,"2023-07-09 00:00:00",Conventional,1.154260989,170823.01,72660.05,47085.60,543.07,38003.11,,,
Roanoke,Weekly,"2023-07-02 00:00:00",Conventional,1.148763782,175788.18,68766.83,56992.65,743.51,36372.41,,,
Roanoke,Weekly,"2023-06-25 00:00:00",Conventional,1.079449069,173215.26,71397.43,47900.76,774.06,37849.65,,,
Sacramento,Weekly,"2023-07-16 00:00:00",Conventional,1.467955404,435217.85,126311.02,239846.89,5341.38,51937.99,,,
Sacramento,Weekly,"2023-07-09 00:00:00",Conventional,1.425654539,470501.65,167832.50,227968.35,6858.14,56758.99,,,
Sacramento,Weekly,"2023-07-02 00:00:00",Conventional,1.617584854,451342.97,148292.34,228148.92,6169.03,57488.54,,,
Sacramento,Weekly,"2023-06-25 00:00:00",Conventional,1.282372227,451662.96,137182.71,234390.57,5623.35,62242.26,,,
"San Diego",Weekly,"2023-07-16 00:00:00",Conventional,1.344953635,519702.82,307968.86,12276.47,86756.11,104515.00,,,
"San Diego",Weekly,"2023-07-09 00:00:00",Conventional,1.240175026,546297.86,314683.28,11220.67,92036.98,119370.52,,,
"San Diego",Weekly,"2023-07-02 00:00:00",Conventional,1.236339464,577136.95,312975.33,11224.35,128818.65,116493.35,,,
"San Diego",Weekly,"2023-06-25 00:00:00",Conventional,1.265115691,519985.36,291724.99,10149.36,97118.81,112483.91,,,
"San Francisco",Weekly,"2023-07-16 00:00:00",Conventional,1.321954997,753171.08,186848.89,466664.58,6187.40,77923.23,,,
"San Francisco",Weekly,"2023-07-09 00:00:00",Conventional,1.521501108,696611.54,273102.06,309400.13,7821.09,96791.45,,,
"San Francisco",Weekly,"2023-07-02 00:00:00",Conventional,1.625896767,651655.06,227978.39,315853.77,7494.58,88434.98,,,
"San Francisco",Weekly,"2023-06-25 00:00:00",Conventional,1.075304300,840902.34,230595.29,512951.76,5952.77,78939.35,,,
Seattle,Weekly,"2023-07-16 00:00:00",Conventional,1.472767268,523707.28,216682.49,212964.09,19839.47,54559.73,,,
Seattle,Weekly,"2023-07-09 00:00:00",Conventional,1.441137760,510761.87,239361.91,168356.79,21402.22,58784.41,,,
Seattle,Weekly,"2023-07-02 00:00:00",Conventional,1.274736204,561191.70,220198.78,240869.17,21672.23,56148.83,,,
Seattle,Weekly,"2023-06-25 00:00:00",Conventional,1.435860473,493794.69,247523.31,136652.30,31150.55,57376.55,,,
"South Carolina",Weekly,"2023-07-16 00:00:00",Conventional,1.306676873,517323.46,253284.05,103841.65,267.41,122266.20,,,
"South Carolina",Weekly,"2023-07-09 00:00:00",Conventional,1.280061111,508306.85,261806.30,81006.26,306.15,130291.93,,,
"South Carolina",Weekly,"2023-07-02 00:00:00",Conventional,1.179614568,565834.92,283169.84,115725.52,210.22,126856.59,,,
"South Carolina",Weekly,"2023-06-25 00:00:00",Conventional,1.138037102,535530.41,264018.01,110376.39,319.77,122044.78,,,
Spokane,Weekly,"2023-07-16 00:00:00",Conventional,1.301614619,80533.26,39120.33,26956.61,20.06,12103.69,,,
Spokane,Weekly,"2023-07-09 00:00:00",Conventional,1.258928667,80847.71,40969.98,24342.02,15.12,12787.45,,,
Spokane,Weekly,"2023-07-02 00:00:00",Conventional,1.096459621,87176.43,41858.40,29516.65,45.47,12810.14,,,
Spokane,Weekly,"2023-06-25 00:00:00",Conventional,1.222098457,75302.25,42544.19,17172.82,121.84,12489.04,,,
"St. Louis",Weekly,"2023-07-16 00:00:00",Conventional,1.050396396,202659.19,129247.13,16765.01,16.05,49236.98,,,
"St. Louis",Weekly,"2023-07-09 00:00:00",Conventional,1.006240492,214774.60,135927.86,19133.33,10.69,52558.81,,,
"St. Louis",Weekly,"2023-07-02 00:00:00",Conventional,1.012941766,207556.80,129641.86,15246.47,38.73,55665.43,,,
"St. Louis",Weekly,"2023-06-25 00:00:00",Conventional,0.955996566,208359.63,123843.53,15203.99,40.17,62041.05,,,
Syracuse,Weekly,"2023-07-16 00:00:00",Conventional,1.090455089,85162.88,20792.55,33577.16,574.35,27081.68,,,
Syracuse,Weekly,"2023-07-09 00:00:00",Conventional,1.104309365,91447.63,21040.81,36028.86,685.21,31184.09,,,
Syracuse,Weekly,"2023-07-02 00:00:00",Conventional,1.098454380,86180.60,19217.54,31940.76,517.62,31988.64,,,
Syracuse,Weekly,"2023-06-25 00:00:00",Conventional,1.080559796,85032.04,17188.38,34630.71,473.88,30222.59,,,
Tampa,Weekly,"2023-07-16 00:00:00",Conventional,1.429354954,461593.36,350328.21,4494.87,169.39,99178.25,,,
Tampa,Weekly,"2023-07-09 00:00:00",Conventional,1.341238076,483944.96,362983.48,5932.28,117.82,110437.48,,,
Tampa,Weekly,"2023-07-02 00:00:00",Conventional,1.043896531,592753.69,482279.98,5765.61,168.83,100071.36,,,
Tampa,Weekly,"2023-06-25 00:00:00",Conventional,0.993758311,610540.38,472849.18,4718.52,169.13,127708.04,,,
Toledo,Weekly,"2023-07-16 00:00:00",Conventional,1.068191427,130192.41,34630.63,62211.65,5667.09,24849.81,,,
Toledo,Weekly,"2023-07-09 00:00:00",Conventional,1.158627885,112625.19,40679.74,34654.36,12230.03,22164.32,,,
Toledo,Weekly,"2023-07-02 00:00:00",Conventional,1.161429205,114584.54,36948.65,41790.90,8861.46,23946.75,,,
Toledo,Weekly,"2023-06-25 00:00:00",Conventional,1.173924666,115131.46,41791.98,35898.85,13572.88,20781.46,,,
"West Tex/New Mexico",Weekly,"2023-07-16 00:00:00",Conventional,1.086172465,849222.20,387557.89,128455.92,31275.00,239342.02,,,
"West Tex/New Mexico",Weekly,"2023-07-09 00:00:00",Conventional,0.921389450,983510.24,484324.60,114861.80,6482.97,267205.52,,,
"West Tex/New Mexico",Weekly,"2023-07-02 00:00:00",Conventional,0.849570133,1020714.34,487247.65,129717.20,9480.68,319055.09,,,
"West Tex/New Mexico",Weekly,"2023-06-25 00:00:00",Conventional,0.824505239,946610.36,477805.19,102113.76,4386.03,288638.34,,,
Wichita,Weekly,"2023-07-16 00:00:00",Conventional,0.990737487,99347.72,45464.04,26962.49,28.67,18185.63,,,
Wichita,Weekly,"2023-07-09 00:00:00",Conventional,0.887882242,108302.42,53834.25,24246.31,68.04,25562.29,,,
Wichita,Weekly,"2023-07-02 00:00:00",Conventional,0.878222262,108941.28,51637.31,27088.48,80.64,26391.86,,,
Wichita,Weekly,"2023-06-25 00:00:00",Conventional,0.893562297,109552.29,57460.33,20200.41,110.78,23767.11,,,
California,Weekly,"2023-07-16 00:00:00",Conventional,1.353647571,5731314.10,2730358.73,1119319.86,828420.82,907809.51,,,
California,Weekly,"2023-07-09 00:00:00",Conventional,1.322317074,5911588.70,2886624.34,890385.14,937782.80,1040080.87,,,
California,Weekly,"2023-07-02 00:00:00",Conventional,1.314814284,6254459.93,2778614.25,924964.73,1419739.17,1007619.64,,,
California,Weekly,"2023-06-25 00:00:00",Conventional,1.226794024,5968982.26,2660909.60,1164733.99,992854.86,1023024.33,,,
"Great Lakes",Weekly,"2023-07-16 00:00:00",Conventional,1.213534319,3488298.42,1005428.72,1406653.83,253587.03,735989.58,,,
"Great Lakes",Weekly,"2023-07-09 00:00:00",Conventional,1.102940367,4102280.44,1240605.23,1116555.93,467303.46,1177826.58,,,
"Great Lakes",Weekly,"2023-07-02 00:00:00",Conventional,1.214986594,3650250.76,1164213.33,1235792.48,360562.98,793513.51,,,
"Great Lakes",Weekly,"2023-06-25 00:00:00",Conventional,1.177326827,3777381.21,1185195.50,1196315.32,489937.52,812322.56,,,
Midsouth,Weekly,"2023-07-16 00:00:00",Conventional,1.265645713,3585077.16,1429462.49,983241.91,6205.17,859748.83,,,
Midsouth,Weekly,"2023-07-09 00:00:00",Conventional,1.236202567,3664045.99,1435483.48,925573.69,13163.54,980916.78,,,
Midsouth,Weekly,"2023-07-02 00:00:00",Conventional,1.212679581,3786129.15,1420790.02,1055743.68,12007.41,952135.20,,,
Midsouth,Weekly,"2023-06-25 00:00:00",Conventional,1.171135410,3738614.87,1486570.38,935156.03,15537.13,926408.64,,,
Northeast,Weekly,"2023-07-16 00:00:00",Conventional,1.174482509,5619404.53,882042.79,3086524.63,7415.68,1314673.86,,,
Northeast,Weekly,"2023-07-09 00:00:00",Conventional,1.241975938,5201849.34,931612.88,2528735.19,25497.83,1521162.91,,,
Northeast,Weekly,"2023-07-02 00:00:00",Conventional,1.219819220,5242745.01,829644.43,2721273.34,40447.30,1407482.96,,,
Northeast,Weekly,"2023-06-25 00:00:00",Conventional,1.242139123,4763700.75,763585.57,2257420.64,44365.53,1448201.38,,,
Plains,Weekly,"2023-07-16 00:00:00",Conventional,1.113113277,1894057.92,924641.30,397720.93,5394.63,388286.89,,,
Plains,Weekly,"2023-07-09 00:00:00",Conventional,1.050473002,1980235.70,1073020.07,290730.40,6072.41,441114.09,,,
Plains,Weekly,"2023-07-02 00:00:00",Conventional,0.992231318,2083159.25,1132385.10,301010.94,12374.20,474470.84,,,
Plains,Weekly,"2023-06-25 00:00:00",Conventional,0.940548445,2084260.43,1105684.41,290998.56,7076.34,491655.85,,,
"South Central",Weekly,"2023-07-16 00:00:00",Conventional,1.077437613,4742069.26,2293495.95,1032993.56,75062.70,801054.95,,,
"South Central",Weekly,"2023-07-09 00:00:00",Conventional,0.934528122,5155794.48,2792360.61,716581.56,96666.87,879213.93,,,
"South Central",Weekly,"2023-07-02 00:00:00",Conventional,0.902928879,5287582.81,2719579.06,1024791.79,131945.04,837959.88,,,
"South Central",Weekly,"2023-06-25 00:00:00",Conventional,0.825369982,5529643.54,2884046.77,945187.23,85393.89,895416.87,,,
Southeast,Weekly,"2023-07-16 00:00:00",Conventional,1.359265186,4512634.25,2710952.42,507906.65,1306.24,1092799.49,,,
Southeast,Weekly,"2023-07-09 00:00:00",Conventional,1.262045447,4760248.86,3035438.39,375220.61,1344.23,1163890.29,,,
Southeast,Weekly,"2023-07-02 00:00:00",Conventional,1.093790242,5520261.12,3728687.76,504167.41,1386.18,1095196.47,,,
Southeast,Weekly,"2023-06-25 00:00:00",Conventional,1.054138029,5493730.10,3584456.86,495058.52,2003.28,1216357.34,,,
West,Weekly,"2023-07-16 00:00:00",Conventional,1.171981895,6930436.97,2890774.16,2549127.87,175238.23,1072727.28,,,
West,Weekly,"2023-07-09 00:00:00",Conventional,1.103832392,7016800.24,3294299.59,2134724.07,175476.76,1140498.84,,,
West,Weekly,"2023-07-02 00:00:00",Conventional,1.064315274,7245601.91,3084658.98,2521368.01,237691.11,1145368.91,,,
West,Weekly,"2023-06-25 00:00:00",Conventional,1.082523479,6659171.17,3207332.04,1707295.90,156763.21,1335073.83,,,
"Total U.S.",Weekly,"2023-07-16 00:00:00",Conventional,1.221875454,36503292.60,14867156.56,11083489.24,1352630.50,7173090.39,,,
"Total U.S.",Weekly,"2023-07-09 00:00:00",Conventional,1.163793900,37792843.75,16689444.59,8978506.59,1723307.90,8344704.30,,,
"Total U.S.",Weekly,"2023-07-02 00:00:00",Conventional,1.132216692,39070189.93,16858572.93,10289112.37,2216153.40,7713747.41,,,
"Total U.S.",Weekly,"2023-06-25 00:00:00",Conventional,1.094020942,38015484.32,16877781.12,8992166.19,1793931.76,8148460.79,,,
Albany,Weekly,"2023-07-16 00:00:00",Organic,1.705904476,3030.62,444.93,132.59,0.00,2025.26,,,
Albany,Weekly,"2023-07-09 00:00:00",Organic,1.594667918,4145.23,379.24,336.23,0.00,2871.55,,,
Albany,Weekly,"2023-07-02 00:00:00",Organic,1.643649539,4148.56,422.93,509.93,0.00,3025.34,,,
Albany,Weekly,"2023-06-25 00:00:00",Organic,1.625738156,3244.33,326.77,381.31,0.00,2374.49,,,
Atlanta,Weekly,"2023-07-16 00:00:00",Organic,1.880283757,23369.28,46.74,11007.06,0.00,7613.32,,,
Atlanta,Weekly,"2023-07-09 00:00:00",Organic,1.909093809,23239.19,39.65,11902.89,0.00,7084.71,,,
Atlanta,Weekly,"2023-07-02 00:00:00",Organic,1.760176127,21233.90,43.25,10775.37,0.00,5845.42,,,
Atlanta,Weekly,"2023-06-25 00:00:00",Organic,1.612916171,20733.75,24.06,9690.25,0.00,5512.06,,,
Baltimore/Washington,Weekly,"2023-07-16 00:00:00",Organic,1.657833314,42599.51,246.68,7521.47,5.77,31850.02,,,
Baltimore/Washington,Weekly,"2023-07-09 00:00:00",Organic,1.576401213,42973.45,416.87,4948.39,13.86,34134.51,,,
Baltimore/Washington,Weekly,"2023-07-02 00:00:00",Organic,1.626848833,46665.40,432.95,8246.51,5.76,34823.20,,,
Baltimore/Washington,Weekly,"2023-06-25 00:00:00",Organic,1.635477160,44768.61,555.93,8173.22,8.06,32484.84,,,
Birmingham/Montgomery,Weekly,"2023-07-16 00:00:00",Organic,1.576849981,11420.83,45.18,567.81,0.00,5572.53,,,
Birmingham/Montgomery,Weekly,"2023-07-09 00:00:00",Organic,1.578715649,11213.93,80.59,481.93,0.00,5535.42,,,
Birmingham/Montgomery,Weekly,"2023-07-02 00:00:00",Organic,1.424481204,8547.55,48.01,404.65,0.00,4755.50,,,
Birmingham/Montgomery,Weekly,"2023-06-25 00:00:00",Organic,1.270055899,11336.66,34.48,331.37,0.00,4790.51,,,
Boise,Weekly,"2023-07-16 00:00:00",Organic,1.943739792,5311.18,542.37,3339.89,0.00,1428.92,,,
Boise,Weekly,"2023-07-09 00:00:00",Organic,1.956792349,5592.78,404.15,3830.98,0.00,1357.65,,,
Boise,Weekly,"2023-07-02 00:00:00",Organic,2.077872629,4694.50,1.09,3815.34,0.00,878.06,,,
Boise,Weekly,"2023-06-25 00:00:00",Organic,2.114733875,4447.35,49.95,3575.65,0.00,821.76,,,
Boston,Weekly,"2023-07-16 00:00:00",Organic,1.676634781,30902.16,363.38,1972.38,0.00,19639.69,,,
Boston,Weekly,"2023-07-09 00:00:00",Organic,1.706016787,28743.75,358.99,2419.03,0.00,17674.55,,,
Boston,Weekly,"2023-07-02 00:00:00",Organic,1.680511491,30044.47,353.43,2422.28,0.00,20558.54,,,
Boston,Weekly,"2023-06-25 00:00:00",Organic,1.671717335,29624.38,266.67,2277.35,0.00,19560.57,,,
Buffalo/Rochester,Weekly,"2023-07-16 00:00:00",Organic,1.571830336,12926.88,638.45,82.97,0.00,11819.58,,,
Buffalo/Rochester,Weekly,"2023-07-09 00:00:00",Organic,1.565007907,11955.82,733.02,93.12,0.00,10898.15,,,
Buffalo/Rochester,Weekly,"2023-07-02 00:00:00",Organic,1.609083373,15316.93,484.87,81.71,0.00,14750.36,,,
Buffalo/Rochester,Weekly,"2023-06-25 00:00:00",Organic,1.656631042,12472.68,561.94,100.64,0.00,11788.05,,,
Charlotte,Weekly,"2023-07-16 00:00:00",Organic,1.481989965,23923.77,65.30,4663.72,8.82,17426.26,,,
Charlotte,Weekly,"2023-07-09 00:00:00",Organic,1.573854401,20392.63,111.58,3783.43,46.34,14633.73,,,
Charlotte,Weekly,"2023-07-02 00:00:00",Organic,1.519979299,21436.07,122.71,3757.58,14.34,16404.68,,,
Charlotte,Weekly,"2023-06-25 00:00:00",Organic,1.521054013,21873.81,93.04,4331.87,24.26,15098.76,,,
Chicago,Weekly,"2023-07-16 00:00:00",Organic,1.861664971,29005.34,1667.95,21257.58,0.00,6079.81,,,
Chicago,Weekly,"2023-07-09 00:00:00",Organic,1.777174204,26652.91,283.62,17805.49,0.00,8068.21,,,
Chicago,Weekly,"2023-07-02 00:00:00",Organic,1.710948876,39621.83,612.28,32344.64,0.00,5931.36,,,
Chicago,Weekly,"2023-06-25 00:00:00",Organic,1.714477649,43163.56,574.50,34713.27,0.00,3962.45,,,
Cincinnati/Dayton,Weekly,"2023-07-16 00:00:00",Organic,1.836270115,11176.31,224.22,7320.86,0.00,1723.91,,,
Cincinnati/Dayton,Weekly,"2023-07-09 00:00:00",Organic,1.852600354,13935.01,6.35,9250.81,0.00,3875.78,,,
Cincinnati/Dayton,Weekly,"2023-07-02 00:00:00",Organic,1.655231764,12499.13,149.20,7624.14,0.00,4725.79,,,
Cincinnati/Dayton,Weekly,"2023-06-25 00:00:00",Organic,1.742481661,11914.02,1333.80,7486.86,0.00,3065.79,,,
Columbus,Weekly,"2023-07-16 00:00:00",Organic,1.937514093,9267.03,1035.87,4092.89,0.00,2793.22,,,
Columbus,Weekly,"2023-07-09 00:00:00",Organic,1.944155710,10778.91,755.79,5635.19,0.00,3789.83,,,
Columbus,Weekly,"2023-07-02 00:00:00",Organic,1.855403890,10346.21,1108.92,4469.37,0.00,4767.92,,,
Columbus,Weekly,"2023-06-25 00:00:00",Organic,1.866369440,8597.66,883.51,3978.98,0.00,3710.37,,,
"Dallas/Ft. Worth",Weekly,"2023-07-16 00:00:00",Organic,1.234856743,43534.76,18799.27,1003.06,0.00,21165.18,,,
"Dallas/Ft. Worth",Weekly,"2023-07-09 00:00:00",Organic,1.174439360,46199.59,21764.89,765.87,0.00,21036.48,,,
"Dallas/Ft. Worth",Weekly,"2023-07-02 00:00:00",Organic,1.224766216,42684.26,17596.96,782.13,0.00,21975.21,,,
"Dallas/Ft. Worth",Weekly,"2023-06-25 00:00:00",Organic,1.255284492,39185.63,16764.67,794.87,0.00,19281.43,,,
Denver,Weekly,"2023-07-16 00:00:00",Organic,1.301521221,37137.21,27398.14,878.65,0.00,6794.03,,,
Denver,Weekly,"2023-07-09 00:00:00",Organic,1.309186989,46214.37,36201.04,760.99,0.00,7393.84,,,
Denver,Weekly,"2023-07-02 00:00:00",Organic,1.369918727,30614.95,24443.36,713.56,0.00,3848.38,,,
Denver,Weekly,"2023-06-25 00:00:00",Organic,1.345873355,32535.54,25394.43,949.39,0.00,4484.42,,,
Detroit,Weekly,"2023-07-16 00:00:00",Organic,1.553912538,13898.55,248.65,5796.54,0.00,6544.15,,,
Detroit,Weekly,"2023-07-09 00:00:00",Organic,1.740648245,12987.18,237.65,6275.10,0.00,6331.11,,,
Detroit,Weekly,"2023-07-02 00:00:00",Organic,1.540777168,13636.82,223.21,5196.92,0.00,8213.93,,,
Detroit,Weekly,"2023-06-25 00:00:00",Organic,1.628839168,12071.49,202.29,5061.23,0.00,6703.24,,,
"Grand Rapids",Weekly,"2023-07-16 00:00:00",Organic,1.392140460,7165.27,2.40,615.21,0.00,5513.16,,,
"Grand Rapids",Weekly,"2023-07-09 00:00:00",Organic,1.484619603,5719.24,1.20,827.04,0.00,4668.35,,,
"Grand Rapids",Weekly,"2023-07-02 00:00:00",Organic,1.483612515,7136.35,0.00,856.55,0.00,5971.16,,,
"Grand Rapids",Weekly,"2023-06-25 00:00:00",Organic,1.507178485,5658.73,4.82,812.69,0.00,4628.33,,,
Harrisburg/Scranton,Weekly,"2023-07-16 00:00:00",Organic,1.480731814,17462.69,196.11,538.59,0.00,15290.36,,,
Harrisburg/Scranton,Weekly,"2023-07-09 00:00:00",Organic,1.424210218,20145.10,250.99,654.58,0.00,16288.06,,,
Harrisburg/Scranton,Weekly,"2023-07-02 00:00:00",Organic,1.448686550,18467.95,302.35,499.13,0.00,16688.31,,,
Harrisburg/Scranton,Weekly,"2023-06-25 00:00:00",Organic,1.469075935,16401.25,232.26,493.86,0.00,14934.19,,,
Hartford/Springfield,Weekly,"2023-07-16 00:00:00",Organic,1.836408018,16869.31,418.74,5232.74,0.00,5376.32,,,
Hartford/Springfield,Weekly,"2023-07-09 00:00:00",Organic,1.877964086,18884.07,761.77,6452.43,0.00,5822.98,,,
Hartford/Springfield,Weekly,"2023-07-02 00:00:00",Organic,1.763848935,19146.34,892.18,7671.56,0.00,5794.69,,,
Hartford/Springfield,Weekly,"2023-06-25 00:00:00",Organic,1.951387051,16744.83,737.98,6610.88,0.00,5561.59,,,
Houston,Weekly,"2023-07-16 00:00:00",Organic,1.192572808,19864.88,13058.02,179.95,0.00,6258.36,,,
Houston,Weekly,"2023-07-09 00:00:00",Organic,1.081808061,23061.24,14153.45,164.26,0.00,8387.58,,,
Houston,Weekly,"2023-07-02 00:00:00",Organic,1.079555382,14625.98,9306.05,207.95,0.00,4648.92,,,
Houston,Weekly,"2023-06-25 00:00:00",Organic,1.272626594,15956.32,9008.47,195.84,0.00,6235.42,,,
Indianapolis,Weekly,"2023-07-16 00:00:00",Organic,1.825158247,6879.66,111.81,3320.97,0.00,3446.89,,,
Indianapolis,Weekly,"2023-07-09 00:00:00",Organic,1.766189090,9042.60,131.27,4220.44,0.00,4690.89,,,
Indianapolis,Weekly,"2023-07-02 00:00:00",Organic,1.616230272,8306.81,142.24,3024.97,0.00,5139.60,,,
Indianapolis,Weekly,"2023-06-25 00:00:00",Organic,1.708905879,5890.84,120.75,2749.31,0.00,2899.51,,,
Jacksonville,Weekly,"2023-07-16 00:00:00",Organic,1.844663429,9857.99,95.70,534.04,0.00,5960.13,,,
Jacksonville,Weekly,"2023-07-09 00:00:00",Organic,1.734651429,11923.78,73.06,3908.80,3.47,5233.78,,,
Jacksonville,Weekly,"2023-07-02 00:00:00",Organic,1.686125804,7856.64,87.45,1560.36,0.00,4903.16,,,
Jacksonville,Weekly,"2023-06-25 00:00:00",Organic,1.489702308,8541.45,74.05,262.97,0.00,5076.88,,,
"Las Vegas",Weekly,"2023-07-16 00:00:00",Organic,1.366793627,16577.36,7749.96,2305.59,0.00,6517.61,,,
"Las Vegas",Weekly,"2023-07-09 00:00:00",Organic,1.355172865,16392.14,8026.02,1684.70,0.00,6681.41,,,
"Las Vegas",Weekly,"2023-07-02 00:00:00",Organic,1.355083056,14413.40,7625.91,1133.64,0.00,5653.86,,,
"Las Vegas",Weekly,"2023-06-25 00:00:00",Organic,1.351404694,13022.26,6700.82,1237.08,0.00,5084.36,,,
"Los Angeles",Weekly,"2023-07-16 00:00:00",Organic,1.878956526,114171.99,75049.18,2362.08,0.00,25150.46,,,
"Los Angeles",Weekly,"2023-07-09 00:00:00",Organic,2.037712485,113393.53,74007.43,3434.48,2.80,21851.47,,,
"Los Angeles",Weekly,"2023-07-02 00:00:00",Organic,2.014808775,102829.68,65872.75,4127.33,1.40,18969.01,,,
"Los Angeles",Weekly,"2023-06-25 00:00:00",Organic,1.982097921,82551.95,49195.38,3394.32,2.79,14963.16,,,
Louisville,Weekly,"2023-07-16 00:00:00",Organic,2.042472571,5057.33,0.00,3437.45,0.00,729.62,,,
Louisville,Weekly,"2023-07-09 00:00:00",Organic,2.110657859,5737.81,0.00,4422.08,0.00,778.26,,,
Louisville,Weekly,"2023-07-02 00:00:00",Organic,2.052837009,4866.49,0.00,3518.84,0.00,755.06,,,
Louisville,Weekly,"2023-06-25 00:00:00",Organic,1.973967733,4861.21,4.47,3426.86,0.00,622.30,,,
"Miami/Ft. Lauderdale",Weekly,"2023-07-16 00:00:00",Organic,1.834576469,31727.54,269.42,484.29,0.00,18636.73,,,
"Miami/Ft. Lauderdale",Weekly,"2023-07-09 00:00:00",Organic,1.810384141,33809.96,282.36,1920.45,0.00,17673.37,,,
"Miami/Ft. Lauderdale",Weekly,"2023-07-02 00:00:00",Organic,1.534449644,33143.78,222.47,7604.10,0.00,16180.95,,,
"Miami/Ft. Lauderdale",Weekly,"2023-06-25 00:00:00",Organic,1.591567582,38766.62,341.55,2975.39,0.00,19019.82,,,
Nashville,Weekly,"2023-07-16 00:00:00",Organic,1.875913145,17762.92,93.60,9912.45,0.00,4934.47,,,
Nashville,Weekly,"2023-07-09 00:00:00",Organic,1.864670409,15733.76,82.96,8853.43,0.00,4415.98,,,
Nashville,Weekly,"2023-07-02 00:00:00",Organic,1.805692138,16495.32,77.76,11144.76,0.00,4026.96,,,
Nashville,Weekly,"2023-06-25 00:00:00",Organic,1.687384067,18015.71,117.06,11399.38,0.00,3674.12,,,
"Northern New England",Weekly,"2023-07-16 00:00:00",Organic,1.736886587,18522.62,3888.38,471.83,0.00,14067.82,,,
"Northern New England",Weekly,"2023-07-09 00:00:00",Organic,1.703727147,19860.44,3533.56,459.92,0.00,15722.00,,,
"Northern New England",Weekly,"2023-07-02 00:00:00",Organic,1.718620361,19454.53,3675.52,591.05,0.00,15017.82,,,
"Northern New England",Weekly,"2023-06-25 00:00:00",Organic,1.707209833,14766.53,2575.61,386.36,0.00,11666.97,,,
"New Orleans/Mobile",Weekly,"2023-07-16 00:00:00",Organic,1.355319445,8213.21,401.09,49.72,0.00,5915.71,,,
"New Orleans/Mobile",Weekly,"2023-07-09 00:00:00",Organic,1.362423790,10464.93,486.84,94.89,0.00,8031.26,,,
"New Orleans/Mobile",Weekly,"2023-07-02 00:00:00",Organic,1.308614855,9889.52,429.90,36.22,0.00,8209.86,,,
"New Orleans/Mobile",Weekly,"2023-06-25 00:00:00",Organic,1.250075610,10165.79,319.61,20.39,0.00,7303.69,,,
"New York",Weekly,"2023-07-16 00:00:00",Organic,1.692261208,92318.81,5027.51,10497.91,0.00,40792.74,,,
"New York",Weekly,"2023-07-09 00:00:00",Organic,1.614345511,107842.96,11342.33,8973.94,6.30,42126.61,,,
"New York",Weekly,"2023-07-02 00:00:00",Organic,1.530843211,108174.54,6939.17,10156.10,3.26,43224.20,,,
"New York",Weekly,"2023-06-25 00:00:00",Organic,1.584201956,102150.64,10487.99,11606.47,0.00,41698.14,,,
Orlando,Weekly,"2023-07-16 00:00:00",Organic,1.705839797,24794.63,202.57,519.44,0.00,16404.73,,,
Orlando,Weekly,"2023-07-09 00:00:00",Organic,1.604313079,29078.78,264.83,3778.88,0.00,16933.26,,,
Orlando,Weekly,"2023-07-02 00:00:00",Organic,1.401413412,27164.64,254.37,3494.57,0.00,15159.95,,,
Orlando,Weekly,"2023-06-25 00:00:00",Organic,1.428446084,25630.40,252.58,285.60,0.00,15450.59,,,
Peoria/Springfield,Weekly,"2023-07-16 00:00:00",Organic,1.640686920,2889.00,20.81,974.48,0.00,1893.71,,,
Peoria/Springfield,Weekly,"2023-07-09 00:00:00",Organic,1.503330046,3912.80,4.94,1023.38,0.00,2881.72,,,
Peoria/Springfield,Weekly,"2023-07-02 00:00:00",Organic,1.631558913,3167.84,12.28,1081.93,0.00,1897.23,,,
Peoria/Springfield,Weekly,"2023-06-25 00:00:00",Organic,1.477915885,3852.36,15.33,879.87,0.00,1832.61,,,
Philadelphia,Weekly,"2023-07-16 00:00:00",Organic,1.553015245,28367.44,1006.63,2871.90,0.00,19623.40,,,
Philadelphia,Weekly,"2023-07-09 00:00:00",Organic,1.461093378,31062.37,1827.50,1305.44,0.00,19320.99,,,
Philadelphia,Weekly,"2023-07-02 00:00:00",Organic,1.452656456,31473.12,1492.93,2785.08,0.00,19900.53,,,
Philadelphia,Weekly,"2023-06-25 00:00:00",Organic,1.514861153,31930.93,2242.94,3097.29,0.00,20612.87,,,
Phoenix/Tucson,Weekly,"2023-07-16 00:00:00",Organic,1.465683051,22609.42,11030.79,3572.12,0.00,6944.96,,,
Phoenix/Tucson,Weekly,"2023-07-09 00:00:00",Organic,1.444372743,23783.63,13244.11,2736.97,0.00,6678.00,,,
Phoenix/Tucson,Weekly,"2023-07-02 00:00:00",Organic,1.466481265,20223.03,12020.04,1828.57,0.00,5375.87,,,
