Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"Northern New England",Weekly,"2023-01-09 00:00:00",Conventional,1.060136067,474929.08,97735.06,234707.09,18.25,82998.13,,,
"New Orleans/Mobile",Weekly,"2023-01-29 00:00:00",Conventional,0.785366276,341188.70,123826.39,2394.13,3096.44,139000.81,,,
"New Orleans/Mobile",Weekly,"2023-01-22 00:00:00",Conventional,0.774796193,326404.43,116486.75,1548.87,554.80,150681.70,,,
"New Orleans/Mobile",Weekly,"2023-01-15 00:00:00",Conventional,0.770299607,350743.69,125787.58,2083.02,536.78,148939.54,,,
"New Orleans/Mobile",Weekly,"2023-01-09 00:00:00",Conventional,0.790332931,332597.48,126223.94,1935.45,181.80,132281.49,,,
"New York",Weekly,"2023-01-29 00:00:00",Conventional,1.221936283,2164649.47,138867.95,1285402.17,1002.80,620250.36,,,
"New York",Weekly,"2023-01-22 00:00:00",Conventional,1.341295372,1716833.68,103421.44,891432.05,829.54,603125.80,,,
"New York",Weekly,"2023-01-15 00:00:00",Conventional,1.225770910,2111537.24,135165.74,1284921.83,541.41,598604.36,,,
"New York",Weekly,"2023-01-09 00:00:00",Conventional,1.352827858,1664185.39,98513.02,921782.43,781.74,557712.47,,,
Orlando,Weekly,"2023-01-29 00:00:00",Conventional,0.893665539,676853.89,321334.10,6624.98,25.51,231020.53,,,
Orlando,Weekly,"2023-01-22 00:00:00",Conventional,0.885942553,672591.24,312434.89,6895.62,60.48,238926.45,,,
Orlando,Weekly,"2023-01-15 00:00:00",Conventional,0.907122509,651056.11,289575.67,5834.26,25.32,227465.94,,,
Orlando,Weekly,"2023-01-09 00:00:00",Conventional,0.923015118,611310.67,295585.01,5839.62,17.01,194130.26,,,
Peoria/Springfield,Weekly,"2023-01-29 00:00:00",Conventional,0.877220540,131441.73,44327.35,5776.35,2611.52,37206.47,,,
Peoria/Springfield,Weekly,"2023-01-22 00:00:00",Conventional,0.875187036,128494.28,38748.38,6234.85,4407.03,37218.91,,,
Peoria/Springfield,Weekly,"2023-01-15 00:00:00",Conventional,0.921938567,136877.72,39203.39,8492.40,10291.82,34965.33,,,
Peoria/Springfield,Weekly,"2023-01-09 00:00:00",Conventional,0.854049033,126558.00,41785.35,7339.37,2592.42,35392.77,,,
Philadelphia,Weekly,"2023-01-29 00:00:00",Conventional,1.059022469,664220.49,144121.91,234831.52,12376.35,205803.69,,,
Philadelphia,Weekly,"2023-01-22 00:00:00",Conventional,1.066663932,603688.68,136707.50,172813.23,12865.75,206499.92,,,
Philadelphia,Weekly,"2023-01-15 00:00:00",Conventional,1.089946370,665137.11,139174.35,241619.95,23473.22,213258.47,,,
Philadelphia,Weekly,"2023-01-09 00:00:00",Conventional,1.110836443,580383.31,136704.28,172706.39,11793.45,213263.83,,,
Phoenix/Tucson,Weekly,"2023-01-29 00:00:00",Conventional,0.807549605,1362777.15,361765.12,107921.38,4263.93,218212.02,,,
Phoenix/Tucson,Weekly,"2023-01-22 00:00:00",Conventional,0.833658909,1327849.00,335137.25,132430.61,4028.47,250297.85,,,
Phoenix/Tucson,Weekly,"2023-01-15 00:00:00",Conventional,0.845739107,1331942.02,327473.74,146376.63,2773.83,209275.59,,,
Phoenix/Tucson,Weekly,"2023-01-09 00:00:00",Conventional,0.817917653,1338150.63,292862.39,170948.54,3799.17,196372.99,,,
Pittsburgh,Weekly,"2023-01-29 00:00:00",Conventional,1.375426469,124389.42,45552.98,16915.79,52.82,45087.88,,,
Pittsburgh,Weekly,"2023-01-22 00:00:00",Conventional,1.033414610,174561.44,66164.19,17638.13,78.54,45850.20,,,
Pittsburgh,Weekly,"2023-01-15 00:00:00",Conventional,1.389088648,128341.78,41108.43,17776.71,157.79,45068.75,,,
Pittsburgh,Weekly,"2023-01-09 00:00:00",Conventional,1.221609739,137256.46,49224.01,16312.34,109.79,41791.41,,,
Portland,Weekly,"2023-01-29 00:00:00",Conventional,1.159679800,654779.70,88401.03,74859.52,5211.95,100082.67,,,
Portland,Weekly,"2023-01-22 00:00:00",Conventional,1.200316005,598363.65,116576.39,30798.13,5415.72,109167.40,,,
Portland,Weekly,"2023-01-15 00:00:00",Conventional,1.250314375,540025.77,112400.87,33412.40,6321.04,104302.64,,,
Portland,Weekly,"2023-01-09 00:00:00",Conventional,1.095823205,608873.63,103950.27,65833.66,5435.65,95410.76,,,
Providence,Weekly,"2023-01-29 00:00:00",Conventional,1.326215536,89851.43,4085.43,47784.81,32.48,18496.25,,,
Providence,Weekly,"2023-01-22 00:00:00",Conventional,1.469196897,81058.73,4076.79,46148.07,24.91,19289.88,,,
Providence,Weekly,"2023-01-15 00:00:00",Conventional,1.465093323,80842.28,4148.59,45896.62,25.41,18576.86,,,
Providence,Weekly,"2023-01-09 00:00:00",Conventional,1.342979886,89207.53,3857.56,51612.01,13.23,17209.37,,,
Raleigh/Greensboro,Weekly,"2023-01-29 00:00:00",Conventional,1.150688114,425257.14,145406.60,67816.63,692.83,161988.84,,,
Raleigh/Greensboro,Weekly,"2023-01-22 00:00:00",Conventional,1.161353547,428478.02,144188.13,72797.98,749.74,166820.43,,,
Raleigh/Greensboro,Weekly,"2023-01-15 00:00:00",Conventional,1.071333706,452085.96,151292.22,92837.65,920.39,155910.81,,,
Raleigh/Greensboro,Weekly,"2023-01-09 00:00:00",Conventional,1.196787627,412569.25,132908.00,67691.98,717.99,163009.81,,,
